Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0065],"Reims, Hotel-Dieu, France","Reims, Hotel-Dieu, France",Unknown,,,,,
[P0066],"Saint-Constant, Laprairie, Quebec, Canada","Saint-Constant, Laprairie, Quebec, Canada",Unknown,,,,,
[P0067],"Saint-Rémi, Les Jardins-De-Napierville, Quebec, Canada","Saint-Rémi, Les Jardins-De-Napierville, Quebec, Canada",Unknown,,,,,
[P0068],"Québec, Quebec, Canada","Québec, Quebec, Canada",Unknown,,,,,
[P0069],"Malone,Franklin,New York,USA","Malone,Franklin,New York,USA",Unknown,,,,,
[P0070],"Ste Julie, Quebec, Canada","Ste Julie, Quebec, Canada",Unknown,,,,,
[P0071],"Montreal, Quebec, Canada","Montreal, Quebec, Canada",Unknown,,,,,
[P0072],Québec,Québec,Unknown,,,,,
[P0073],"Nanaimo, British Columbia, Canada","Nanaimo, British Columbia, Canada",Unknown,,,,,
[P0074],"St-Joseph-du-Lac, Québec, Canada","St-Joseph-du-Lac, Québec, Canada",Unknown,,,,,
[P0075],"Ile De Montreal, Saint Eustache, Quebec, Canada","Ile De Montreal, Saint Eustache, Quebec, Canada",Unknown,,,,,
[P0076],"St Martin, Laval, Quebec, Canada","St Martin, Laval, Quebec, Canada",Unknown,,,,,
[P0077],"St-Eustache, Québec, Canada","St-Eustache, Québec, Canada",Unknown,,,,,
[P0078],"Saint-Eustache, Quebec, Canada","Saint-Eustache, Quebec, Canada",Unknown,,,,,
[P0079],"St-Benoit, Québec, Canada","St-Benoit, Québec, Canada",Unknown,,,,,
[P0080],"Saint-Eustache, Deux-Montagnes, Quebec, Canada","Saint-Eustache, Deux-Montagnes, Quebec, Canada",Unknown,,,,,
[P0081],"Ste Marthe, Vaudreuil","Ste Marthe, Vaudreuil",Unknown,,,,,
[P0082],"Glen Robertson, Ontario, Canada","Glen Robertson, Ontario, Canada",Unknown,,,,,
[P0084],...,...,Unknown,,,,,
[P0083],St. Benoît-du-Lac (Québec),St. Benoît-du-Lac (Québec),Unknown,,,,,
[P0085],"Oka, Deux-Montagnes, Quebec, Canada","Oka, Deux-Montagnes, Quebec, Canada",Unknown,,,,,
[P0086],"Ste-Marthe-sur-le-Lac, Québec, Canada","Ste-Marthe-sur-le-Lac, Québec, Canada",Unknown,,,,,
[P0087],"Sailly, Saône-et-Loire, Bourgogne, France","Sailly, Saône-et-Loire, Bourgogne, France",Unknown,,,,,
[P0088],France,France,Unknown,,,,,
[P0089],"L'assomption, Quebec, Canada","L'assomption, Quebec, Canada",Unknown,,,,,
[P0090],"St Martin, d'Ige, Mortagne, Perche, France","St Martin, d'Ige, Mortagne, Perche, France",Unknown,,,,,
[P0091],"St Martin d'Ige, Alencon, Perche, France","St Martin d'Ige, Alencon, Perche, France",Unknown,,,,,
[P0092],"Québec, , Quebec, Canada","Québec, , Quebec, Canada",Unknown,,,,,
[P0093],"Ige St Martin, Orne, Basse-Normandie, France","Ige St Martin, Orne, Basse-Normandie, France",Unknown,,,,,
[P0094],"Montreal,,Montreal,Quebec,Canada,","Montreal,,Montreal,Quebec,Canada,",Unknown,,,,,
[P0095],"Quebec, Quebec, Canada","Quebec, Quebec, Canada",Unknown,,,,,
[P0096],"Appenai-sous-Belleme, Departement de l'Orne, Basse-Normandie, France","Appenai-sous-Belleme, Departement de l'Orne, Basse-Normandie, France",Unknown,,,,,
[P0097],"Montreal, Montreal Region, Quebec, Canada","Montreal, Montreal Region, Quebec, Canada",Unknown,,,,,
[P0098],"Quebec, QC","Quebec, QC",Unknown,,,,,
[P0099],"Ste-Martin, d'Ige, Évêché-de-Sée, Mortagne, France","Ste-Martin, d'Ige, Évêché-de-Sée, Mortagne, France",Unknown,,,,,
[P0100],"Ige, Perche, France","Ige, Perche, France",Unknown,,,,,
[P0101],"Sillery, Quebec","Sillery, Quebec",Unknown,,,,,
[P0102],"Montreal, Quebec","Montreal, Quebec",Unknown,,,,,
[P0103],"Mortagne, Orne, Basse-Normandie, France","Mortagne, Orne, Basse-Normandie, France",Unknown,,,,,
[P0104],"Pointe-aux-Trembles, Montreal Region, Quebec, Canada","Pointe-aux-Trembles, Montreal Region, Quebec, Canada",Unknown,,,,,
[P0105],"Fresney, Calvados, Basse-Normandie, St Martin, Orne, Perche, France","Fresney, Calvados, Basse-Normandie, St Martin, Orne, Perche, France",Unknown,,,,,
[P0106],"Varennes-sur-Loire,49730,Maine-et-Loire,Pays de la Loire,France,","Varennes-sur-Loire,49730,Maine-et-Loire,Pays de la Loire,France,",Unknown,,,,,
[P0107],"Montreal (Basilique Notre-Dame), Quebec, Canada","Montreal (Basilique Notre-Dame), Quebec, Canada",Unknown,,,,,
[P0108],"Mornac-sur-Seudre,17113,Charente-Maritime,Poitou-Charentes,France,","Mornac-sur-Seudre,17113,Charente-Maritime,Poitou-Charentes,France,",Unknown,,,,,
[P0109],"Sillery, Quebec, Canada","Sillery, Quebec, Canada",Unknown,,,,,
[P0110],"Ville Marie, Quebec","Ville Marie, Quebec",Unknown,,,,,
[P0111],"Norfolk, England","Norfolk, England",Unknown,,,,,
[P0112],"Roughton, Norfolk, England","Roughton, Norfolk, England",Unknown,,,,,
[P0113],"Matlask, Norfolk, England","Matlask, Norfolk, England",Unknown,,,,,
[P0114],"Aldborough, Norfolk, England","Aldborough, Norfolk, England",Unknown,,,,,
[P0115],"Norfolk, United Kingdom","Norfolk, United Kingdom",Unknown,,,,,
[P0116],"Reepham, Norfolk, England","Reepham, Norfolk, England",Unknown,,,,,
[P0117],"Briningham, Norfolk, England","Briningham, Norfolk, England",Unknown,,,,,
[P0118],"Hanworth, Norfolk, England","Hanworth, Norfolk, England",Unknown,,,,,
[P0119],"Smallburgh, Norfolk, England","Smallburgh, Norfolk, England",Unknown,,,,,
[P0120],"St. Stephens, Norwich, Norfolk, England","St. Stephens, Norwich, Norfolk, England",Unknown,,,,,
[P0121],Ontario,Ontario,Unknown,,,,,
[P0122],"Prescott, Ontario, Canada","Prescott, Ontario, Canada",Unknown,,,,,
[P0123],"Pointe Claire, Montreal, Québec Canada","Pointe Claire, Montreal, Québec Canada",Unknown,,,,,
[P0124],"Pointe Claire, Montreal, Québec, Canada","Pointe Claire, Montreal, Québec, Canada",Unknown,,,,,
[P0125],"St Eugène Prescott, Ontario, Canada","St Eugène Prescott, Ontario, Canada",Unknown,,,,,
[P0126],"E. Hawkesbury Tp, Prescott, Ontario, Canada","E. Hawkesbury Tp, Prescott, Ontario, Canada",Unknown,,,,,
[P0127],"County Cavan, Ireland","County Cavan, Ireland",Unknown,,,,,
[P0128],Glengarry St-Rafael ontario,Glengarry St-Rafael ontario,Unknown,,,,,
[P0129],"Chute à Blondeau, Prescott, Ontario, Canada","Chute à Blondeau, Prescott, Ontario, Canada",Unknown,,,,,
[P0130],"Pierrefonds, Québec, Canada","Pierrefonds, Québec, Canada",Unknown,,,,,
[P0131],"Chute à Blondeau, Ontario, Canada","Chute à Blondeau, Ontario, Canada",Unknown,,,,,
[P0132],"Ville St-Laurent, Ile de Montreal, Quebec, Canada","Ville St-Laurent, Ile de Montreal, Quebec, Canada",Unknown,,,,,
[P0133],"Lachine, Ile de Montréal, Québec, Canada","Lachine, Ile de Montréal, Québec, Canada",Unknown,,,,,
[P0134],"Lachine, , Quebec, Canada","Lachine, , Quebec, Canada",Unknown,,,,,
[P0135],"Sorel, Quebec, Canada","Sorel, Quebec, Canada",Unknown,,,,,
[P0136],"Notre-Dame, Montreal, Ile-de-Montreal, Quebec, Canada","Notre-Dame, Montreal, Ile-de-Montreal, Quebec, Canada",Unknown,,,,,
[P0137],"Saint-Nicolas de Chalons-sur-marne, Marne, Champagne, France","Saint-Nicolas de Chalons-sur-marne, Marne, Champagne, France",Unknown,,,,,
[P0138],"Rethel, Departement des Ardennes, Champagne-Ardenne, France","Rethel, Departement des Ardennes, Champagne-Ardenne, France",Unknown,,,,,
[P0139],"Champagne, Dordogne, Aquitaine, France","Champagne, Dordogne, Aquitaine, France",Unknown,,,,,
[P0140],"Chambly, 1654490, Quebec, Canada","Chambly, 1654490, Quebec, Canada",Unknown,,,,,
[P0141],"Boucherville, Monteregie Region, Quebec, Canada","Boucherville, Monteregie Region, Quebec, Canada",Unknown,,,,,
[P0142],"Boucherville, Chambly, Canada, Nouvelle France","Boucherville, Chambly, Canada, Nouvelle France",Unknown,,,,,
[P0143],"Lanrelas, Côtes-d'Armor, Bretagne, France","Lanrelas, Côtes-d'Armor, Bretagne, France",Unknown,,,,,
[P0144],"Hotel, Alpes-de-Haute-Provence, Provence-Alpes-Cote d'Azur, France","Hotel, Alpes-de-Haute-Provence, Provence-Alpes-Cote d'Azur, France",Unknown,,,,,
[P0145],"Écueil, Marne, Champagne-Ardenne, France","Écueil, Marne, Champagne-Ardenne, France",Unknown,,,,,
[P0146],"Plumaugat, Côtes-d'Armor, Bretagne, France","Plumaugat, Côtes-d'Armor, Bretagne, France",Unknown,,,,,
[P0147],"Plénée-Jugon, Côtes-d'Armor, Bretagne, France","Plénée-Jugon, Côtes-d'Armor, Bretagne, France",Unknown,,,,,
[P0148],"Saint-Jouan-De-L'isle, Côtes-D'armor, Bretagne, France","Saint-Jouan-De-L'isle, Côtes-D'armor, Bretagne, France",Unknown,,,,,
[P0149],"Ecueil, Marne, Champagne-Ardenne, France","Ecueil, Marne, Champagne-Ardenne, France",Unknown,,,,,
[P0150],"Adelange, Moselle, Lorraine, France","Adelange, Moselle, Lorraine, France",Unknown,,,,,
[P0151],Netherlands,Netherlands,Unknown,,,,,
[P0152],"Ecuelles, Saône-et-Loire, Bourgogne, France","Ecuelles, Saône-et-Loire, Bourgogne, France",Unknown,,,,,
[P0153],"Boucherville, Québec, Canada","Boucherville, Québec, Canada",Unknown,,,,,
[P0154],"Ste-Thérèse, Québec, Canada","Ste-Thérèse, Québec, Canada",Unknown,,,,,
[P0155],", , Bretagne, France",", , Bretagne, France",Unknown,,,,,
[P0156],"St Jacques Ward, Montréal Centre, Quebec, Canada","St Jacques Ward, Montréal Centre, Quebec, Canada",Unknown,,,,,
[P0157],"Montreal St Laurent, Quebec","Montreal St Laurent, Quebec",Unknown,,,,,
[P0158],"Montreal Region, Quebec, Canada","Montreal Region, Quebec, Canada",Unknown,,,,,
[P0159],"30 Elmwood Avenue, Outremont","30 Elmwood Avenue, Outremont",Unknown,,,,,
[P0160],"West Montreal, Quebec","West Montreal, Quebec",Unknown,,,,,
[P0161],Canada French,Canada French,Unknown,,,,,
[P0162],"Salem, Massachusetts, USA","Salem, Massachusetts, USA",Unknown,,,,,
[P0163],"New Bedford Ward 6, Bristol, Massachusetts, USA","New Bedford Ward 6, Bristol, Massachusetts, USA",Unknown,,,,,
[P0164],"Lachine, Montreal Region, Quebec, Canada","Lachine, Montreal Region, Quebec, Canada",Unknown,,,,,
[P0165],"Lachine, Communauté-Urbaine-de-Montréal, Québec, Canada","Lachine, Communauté-Urbaine-de-Montréal, Québec, Canada",Unknown,,,,,
[P0166],"Gaspé, Quebec, Canada","Gaspé, Quebec, Canada",Unknown,,,,,
[P0167],"Suburd or rural district, Montreal, Quebec, Canada","Suburd or rural district, Montreal, Quebec, Canada",Unknown,,,,,
[P0168],"Mont Louis, St Maxime, Gaspé (Haute Gaspésie), Québec, Canada","Mont Louis, St Maxime, Gaspé (Haute Gaspésie), Québec, Canada",Unknown,,,,,
[P0169],"Ste-Anne-des-Monts, Québec, Canada","Ste-Anne-des-Monts, Québec, Canada",Unknown,,,,,
[P0170],"Montréal, Communauté-Urbaine-de-Montréal, Québec, Canada","Montréal, Communauté-Urbaine-de-Montréal, Québec, Canada",Unknown,,,,,
[P0171],St-Octave -de-l'Avenir.Qc.,St-Octave -de-l'Avenir.Qc.,Unknown,,,,,
[P0172],"Mont-Louis,Gaspé,Quebec,Canada","Mont-Louis,Gaspé,Quebec,Canada",Unknown,,,,,
[P0173],"Montréal,Québec,Canada","Montréal,Québec,Canada",Unknown,,,,,
[P0174],"Riviere Pentecote, Paroisse de St-Patrice Co Saguenay","Riviere Pentecote, Paroisse de St-Patrice Co Saguenay",Unknown,,,,,
[P0175],"Rivière Pentecote, Paroisse St-Patrice","Rivière Pentecote, Paroisse St-Patrice",Unknown,,,,,
[P0176],"St-Octave de Métis, Québec","St-Octave de Métis, Québec",Unknown,,,,,
[P0177],"Montréal (Ste-Clotilde), Québec","Montréal (Ste-Clotilde), Québec",Unknown,,,,,
[P0178],"Montréal (Basilique Notre-Dame), Québec (funérailles le 16 juillet 1935)","Montréal (Basilique Notre-Dame), Québec (funérailles le 16 juillet 1935)",Unknown,,,,,
[P0179],"Rue St Moni, Montreal, Montreal (Westmount-St Henri), Quebec, Canada","Rue St Moni, Montreal, Montreal (Westmount-St Henri), Quebec, Canada",Unknown,,,,,
[P0180],"Sheringham, Norfolk, England","Sheringham, Norfolk, England",Unknown,,,,,
[P0181],"Ste Clothilde, Ste Clothilde, Chateauguay-Huntingdon, Quebec, Canada","Ste Clothilde, Ste Clothilde, Chateauguay-Huntingdon, Quebec, Canada",Unknown,,,,,
[P0182],"Hemmingford, 1654509, Quebec, Canada","Hemmingford, 1654509, Quebec, Canada",Unknown,,,,,
[P0183],"Hemmingford, Monteregie Region, Quebec, Canada","Hemmingford, Monteregie Region, Quebec, Canada",Unknown,,,,,
[P0184],USA,USA,Unknown,,,,,
[P0185],"Cohoes, Albany, New York, États-Unis","Cohoes, Albany, New York, États-Unis",Unknown,,,,,
[P0186],"Ste-Clotilde-de-Châteauguay, Québec, Canada","Ste-Clotilde-de-Châteauguay, Québec, Canada",Unknown,,,,,
[P0187],"Albany, New York, États-Unis","Albany, New York, États-Unis",Unknown,,,,,
[P0188],"Williamstown, Berkshire, Massachusetts, USA","Williamstown, Berkshire, Massachusetts, USA",Unknown,,,,,
[P0189],"Sainte-Clotilde-de-Chateauguay, Quebec, Canada","Sainte-Clotilde-de-Chateauguay, Quebec, Canada",Unknown,,,,,
[P0190],"Hemmingford, Quebec, Canada","Hemmingford, Quebec, Canada",Unknown,,,,,
[P0191],"Williamstown, Massachusetts, USA","Williamstown, Massachusetts, USA",Unknown,,,,,
[P0192],"Montérégie - Le Haut-Richelieu, Québec","Montérégie - Le Haut-Richelieu, Québec",Unknown,,,,,
[P0193],Massachusetts,Massachusetts,Unknown,,,,,
[P0194],"Verdun, Île-de-Montréal","Verdun, Île-de-Montréal",Unknown,,,,,
[P0195],"Lachine, Montréal, Quebec, Canada","Lachine, Montréal, Quebec, Canada",Unknown,,,,,
[P0196],"Berthierville, 1654473, Quebec, Canada","Berthierville, 1654473, Quebec, Canada",Unknown,,,,,
[P0197],Lachine,Lachine,Unknown,,,,,
[P0198],"Ste-Clothilde, comté Châteauguay","Ste-Clothilde, comté Châteauguay",Unknown,,,,,
[P0199],"Sherrington, quebec","Sherrington, quebec",Unknown,,,,,
[P0200],"Sts Anges de Lachine, Quebec, Canada","Sts Anges de Lachine, Quebec, Canada",Unknown,,,,,
[P0201],"St Laurent, Cte Jacques Cartier, Quebec, Canada","St Laurent, Cte Jacques Cartier, Quebec, Canada",Unknown,,,,,
[P0202],"St Laurent, Quebec, Canada","St Laurent, Quebec, Canada",Unknown,,,,,
[P0203],"St-Laurent, Québec, Canada","St-Laurent, Québec, Canada",Unknown,,,,,
[P0204],"St Michel de Vaudreuil, Quebec, Canada","St Michel de Vaudreuil, Quebec, Canada",Unknown,,,,,
[P0205],"Montréal,  Quebec, Canada","Montréal,  Quebec, Canada",Unknown,,,,,
[P0206],"St Pierre de Pomponne, Meaux, Seine et Marne, Ile de France, France","St Pierre de Pomponne, Meaux, Seine et Marne, Ile de France, France",Unknown,,,,,
[P0207],"Meaux, Seine-et-Marne, Ile-de-France, France","Meaux, Seine-et-Marne, Ile-de-France, France",Unknown,,,,,
[P0208],"40 Lacasse, Montreal, Montreal (Westmount-St Henri), Quebec, Canada","40 Lacasse, Montreal, Montreal (Westmount-St Henri), Quebec, Canada",Unknown,,,,,
[P0209],"Montréal (Notre Dame), Quebec, Canada","Montréal (Notre Dame), Quebec, Canada",Unknown,,,,,
[P0210],"St-Constant, (Cté. Laprairie)","St-Constant, (Cté. Laprairie)",Unknown,,,,,
[P0211],"Saint Eustache, Quebec, Canada","Saint Eustache, Quebec, Canada",Unknown,,,,,
[P0212],"St-Eustache (St-Eustache), Quebec, Canada","St-Eustache (St-Eustache), Quebec, Canada",Unknown,,,,,
[P0213],"St-Eugène, Québec, Canada","St-Eugène, Québec, Canada",Unknown,,,,,
[P0214],"St Jean Baptiste Ward, Hochelaga, Quebec, Canada","St Jean Baptiste Ward, Hochelaga, Quebec, Canada",Unknown,,,,,
[P0215],", Hochelaga, Quebec",", Hochelaga, Quebec",Unknown,,,,,
[P0216],"Notre Dame de Grâce Village, Hochelaga, Quebec, Canada","Notre Dame de Grâce Village, Hochelaga, Quebec, Canada",Unknown,,,,,
[P0217],"Montreal, Quebec Canada","Montreal, Quebec Canada",Unknown,,,,,
[P0218],"St Henri, Montreal, Quebec, Canada","St Henri, Montreal, Quebec, Canada",Unknown,,,,,
[P0219],"St Martine, Pannisse Ste Martine, Chateauguay-Huntingdon, Quebec, Canada","St Martine, Pannisse Ste Martine, Chateauguay-Huntingdon, Quebec, Canada",Unknown,,,,,
[P0220],"222 Workman, Montréal, Montreal (Westmount-St Henri), Quebec, Canada","222 Workman, Montréal, Montreal (Westmount-St Henri), Quebec, Canada",Unknown,,,,,
[P0221],"St Charles, Montreal, Quebec, Canada","St Charles, Montreal, Quebec, Canada",Unknown,,,,,
[P0222],"St Benoit, Deux Montagnes, Quebec","St Benoit, Deux Montagnes, Quebec",Unknown,,,,,
[P0223],"St Henri, Hochelaga, Quebec, Canada","St Henri, Hochelaga, Quebec, Canada",Unknown,,,,,
[P0224],"St Jean Domascene, Montreal, Quebec, Canada","St Jean Domascene, Montreal, Quebec, Canada",Unknown,,,,,
[P0225],"Montérégie - Roussillon, Québec, Canada","Montérégie - Roussillon, Québec, Canada",Unknown,,,,,
[P0226],Lower Canada,Lower Canada,Unknown,,,,,
[P0227],"Deux Montagnes, Canada East (Quebec), Canada","Deux Montagnes, Canada East (Quebec), Canada",Unknown,,,,,
[P0228],"Saint Benoît, Deux-Montagnes, Canada East, Canada","Saint Benoît, Deux-Montagnes, Canada East, Canada",Unknown,,,,,
[P0229],Deux Montagnes (Lac),Deux Montagnes (Lac),Unknown,,,,,
[P0230],"Saint Benoit, Quebec, Canada","Saint Benoit, Quebec, Canada",Unknown,,,,,
[P0231],"St-Eustache, Deux-Montagnes, Canada East, Canada","St-Eustache, Deux-Montagnes, Canada East, Canada",Unknown,,,,,
[P0232],"Laurentides - Deux-Montagnes, Québec, Canada","Laurentides - Deux-Montagnes, Québec, Canada",Unknown,,,,,
[P0233],"St Irenee, Montreal, Quebec, Canada","St Irenee, Montreal, Quebec, Canada",Unknown,,,,,
[P0234],"St Paul, Montreal, Quebec, Canada","St Paul, Montreal, Quebec, Canada",Unknown,,,,,
[P0235],"Verdun, Quebec, Canada","Verdun, Quebec, Canada",Unknown,,,,,
[P0236],"Hilsdale, Columbia New York","Hilsdale, Columbia New York",Unknown,,,,,
[P0237],"St Benoit, Quebec,Canada","St Benoit, Quebec,Canada",Unknown,,,,,
[P0238],", Argenteuil, Quebec",", Argenteuil, Quebec",Unknown,,,,,
[P0239],"Laurentides - Mirabel (ville), Québec, Canada","Laurentides - Mirabel (ville), Québec, Canada",Unknown,,,,,
[P0240],"St-Benoît, Québec, Canada","St-Benoît, Québec, Canada",Unknown,,,,,
[P0241],"De Notre Dame de Montreal, Canada","De Notre Dame de Montreal, Canada",Unknown,,,,,
[P0242],"Saint-Eustache, , Quebec, Canada","Saint-Eustache, , Quebec, Canada",Unknown,,,,,
[P0243],"Montreal, Ile De Montreal, Pq","Montreal, Ile De Montreal, Pq",Unknown,,,,,
[P0244],"Saint-Laurent, Montreal Region, Quebec, Canada","Saint-Laurent, Montreal Region, Quebec, Canada",Unknown,,,,,
[P0245],"Montréal, Montréal, Québec, Canada","Montréal, Montréal, Québec, Canada",Unknown,,,,,
[P0246],"Montreal Basilique Notre Dame, Quebec, Canada","Montreal Basilique Notre Dame, Quebec, Canada",Unknown,,,,,
